Date,CO2,CO2_1,CO2_2,CO2_3,CO2_4,target_1,target_2,target_3
1959-08-03,314.72,314.92,315.5,315.81,316.16,316.68,317.1,317.46
1959-08-10,314.92,315.5,315.81,316.16,316.68,317.1,317.46,317.64
1959-08-17,315.5,315.81,316.16,316.68,317.1,317.46,317.64,318.03
1959-08-24,315.81,316.16,316.68,317.1,317.46,317.64,318.03,318.41
1959-08-31,316.16,316.68,317.1,317.46,317.64,318.03,318.41,318.76
1959-09-07,316.68,317.1,317.46,317.64,318.03,318.41,318.76,318.87
1959-09-14,317.1,317.46,317.64,318.03,318.41,318.76,318.87,319.12
1959-09-21,317.46,317.64,318.03,318.41,318.76,318.87,319.12,319.21
1959-09-28,317.64,318.03,318.41,318.76,318.87,319.12,319.21,319.34
1959-10-05,318.03,318.41,318.76,318.87,319.12,319.21,319.34,319.64
1959-10-12,318.41,318.76,318.87,319.12,319.21,319.34,319.64,319.75
1959-10-19,318.76,318.87,319.12,319.21,319.34,319.64,319.75,319.62
1959-10-26,318.87,319.12,319.21,319.34,319.64,319.75,319.62,319.7
1959-11-02,319.12,319.21,319.34,319.64,319.75,319.62,319.7,319.56
1959-11-09,319.21,319.34,319.64,319.75,319.62,319.7,319.56,319.35
1959-11-16,319.34,319.64,319.75,319.62,319.7,319.56,319.35,319.3
1959-11-23,319.64,319.75,319.62,319.7,319.56,319.35,319.3,319.23
1959-11-30,319.75,319.62,319.7,319.56,319.35,319.3,319.23,318.85
1959-12-07,319.62,319.7,319.56,319.35,319.3,319.23,318.85,318.75
1959-12-14,319.7,319.56,319.35,319.3,319.23,318.85,318.75,318.06
1959-12-21,319.56,319.35,319.3,319.23,318.85,318.75,318.06,318.1
1959-12-28,319.35,319.3,319.23,318.85,318.75,318.06,318.1,317.71
1960-01-04,319.3,319.23,318.85,318.75,318.06,318.1,317.71,317.34
1960-01-11,319.23,318.85,318.75,318.06,318.1,317.71,317.34,317.05
1960-01-18,318.85,318.75,318.06,318.1,317.71,317.34,317.05,316.7266666666667
1960-01-25,318.75,318.06,318.1,317.71,317.34,317.05,316.7266666666667,316.4033333333333
1960-02-01,318.06,318.1,317.71,317.34,317.05,316.7266666666667,316.4033333333333,316.08
1960-02-08,318.1,317.71,317.34,317.05,316.7266666666667,316.4033333333333,316.08,315.89
1960-02-15,317.71,317.34,317.05,316.7266666666667,316.4033333333333,316.08,315.89,315.495
1960-02-22,317.34,317.05,316.7266666666667,316.4033333333333,316.08,315.89,315.495,315.1
1960-02-29,317.05,316.7266666666667,316.4033333333333,316.08,315.89,315.495,315.1,314.89
1960-03-07,316.7266666666667,316.4033333333333,316.08,315.89,315.495,315.1,314.89,314.83
1960-03-14,316.4033333333333,316.08,315.89,315.495,315.1,314.89,314.83,314.6
1960-03-21,316.08,315.89,315.495,315.1,314.89,314.83,314.6,314.49
1960-03-28,315.89,315.495,315.1,314.89,314.83,314.6,314.49,314.38
1960-04-04,315.495,315.1,314.89,314.83,314.6,314.49,314.38,314.29
1960-04-11,315.1,314.89,314.83,314.6,314.49,314.38,314.29,314.37
1960-04-18,314.89,314.83,314.6,314.49,314.38,314.29,314.37,314.23
1960-04-25,314.83,314.6,314.49,314.38,314.29,314.37,314.23,314.35
1960-05-02,314.6,314.49,314.38,314.29,314.37,314.23,314.35,314.46
1960-05-09,314.49,314.38,314.29,314.37,314.23,314.35,314.46,314.51
1960-05-16,314.38,314.29,314.37,314.23,314.35,314.46,314.51,314.89
1960-05-23,314.29,314.37,314.23,314.35,314.46,314.51,314.89,315.12
1960-05-30,314.37,314.23,314.35,314.46,314.51,314.89,315.12,315.36
1960-06-06,314.23,314.35,314.46,314.51,314.89,315.12,315.36,315.64
1960-06-13,314.35,314.46,314.51,314.89,315.12,315.36,315.64,315.85
1960-06-20,314.46,314.51,314.89,315.12,315.36,315.64,315.85,316.29
1960-06-27,314.51,314.89,315.12,315.36,315.64,315.85,316.29,316.67
1960-07-04,314.89,315.12,315.36,315.64,315.85,316.29,316.67,317.0
1960-07-11,315.12,315.36,315.64,315.85,316.29,316.67,317.0,317.45
1960-07-18,315.36,315.64,315.85,316.29,316.67,317.0,317.45,317.89
1960-07-25,315.64,315.85,316.29,316.67,317.0,317.45,317.89,318.42
1960-08-01,315.85,316.29,316.67,317.0,317.45,317.89,318.42,318.62
1960-08-08,316.29,316.67,317.0,317.45,317.89,318.42,318.62,318.99
1960-08-15,316.67,317.0,317.45,317.89,318.42,318.62,318.99,319.3
1960-08-22,317.0,317.45,317.89,318.42,318.62,318.99,319.3,319.43
1960-08-29,317.45,317.89,318.42,318.62,318.99,319.3,319.43,319.91
1960-09-05,317.89,318.42,318.62,318.99,319.3,319.43,319.91,320.18
1960-09-12,318.42,318.62,318.99,319.3,319.43,319.91,320.18,320.65
1960-09-19,318.62,318.99,319.3,319.43,319.91,320.18,320.65,320.57
1960-09-26,318.99,319.3,319.43,319.91,320.18,320.65,320.57,320.77
1960-10-03,319.3,319.43,319.91,320.18,320.65,320.57,320.77,320.84
1960-10-10,319.43,319.91,320.18,320.65,320.57,320.77,320.84,320.79
1960-10-17,319.91,320.18,320.65,320.57,320.77,320.84,320.79,321.05
1960-10-24,320.18,320.65,320.57,320.77,320.84,320.79,321.05,320.98
1960-10-31,320.65,320.57,320.77,320.84,320.79,321.05,320.98,320.92
1960-11-07,320.57,320.77,320.84,320.79,321.05,320.98,320.92,320.65
1960-11-14,320.77,320.84,320.79,321.05,320.98,320.92,320.65,320.73
1960-11-21,320.84,320.79,321.05,320.98,320.92,320.65,320.73,320.27
1960-11-28,320.79,321.05,320.98,320.92,320.65,320.73,320.27,320.25
1960-12-05,321.05,320.98,320.92,320.65,320.73,320.27,320.25,320.16
1960-12-12,320.98,320.92,320.65,320.73,320.27,320.25,320.16,319.74
1960-12-19,320.92,320.65,320.73,320.27,320.25,320.16,319.74,319.32
1960-12-26,320.65,320.73,320.27,320.25,320.16,319.74,319.32,319.07
1961-01-02,320.73,320.27,320.25,320.16,319.74,319.32,319.07,318.68
1961-01-09,320.27,320.25,320.16,319.74,319.32,319.07,318.68,318.25
1961-01-16,320.25,320.16,319.74,319.32,319.07,318.68,318.25,318.07
1961-01-23,320.16,319.74,319.32,319.07,318.68,318.25,318.07,317.76
1961-01-30,319.74,319.32,319.07,318.68,318.25,318.07,317.76,317.45
1961-02-06,319.32,319.07,318.68,318.25,318.07,317.76,317.45,317.0
1961-02-13,319.07,318.68,318.25,318.07,317.76,317.45,317.0,316.95
1961-02-20,318.68,318.25,318.07,317.76,317.45,317.0,316.95,316.45
1961-02-27,318.25,318.07,317.76,317.45,317.0,316.95,316.45,316.25
1961-03-06,318.07,317.76,317.45,317.0,316.95,316.45,316.25,316.15
1961-03-13,317.76,317.45,317.0,316.95,316.45,316.25,316.15,315.77
1961-03-20,317.45,317.0,316.95,316.45,316.25,316.15,315.77,315.77
1961-03-27,317.0,316.95,316.45,316.25,316.15,315.77,315.77,315.78
1961-04-03,316.95,316.45,316.25,316.15,315.77,315.77,315.78,315.43
1961-04-10,316.45,316.25,316.15,315.77,315.77,315.78,315.43,315.59
1961-04-17,316.25,316.15,315.77,315.77,315.78,315.43,315.59,315.62
1961-04-24,316.15,315.77,315.77,315.78,315.43,315.59,315.62,315.74
1961-05-01,315.77,315.77,315.78,315.43,315.59,315.62,315.74,315.65
1961-05-08,315.77,315.78,315.43,315.59,315.62,315.74,315.65,315.79
1961-05-15,315.78,315.43,315.59,315.62,315.74,315.65,315.79,316.17
1961-05-22,315.43,315.59,315.62,315.74,315.65,315.79,316.17,316.38
1961-05-29,315.59,315.62,315.74,315.65,315.79,316.17,316.38,316.64
1961-06-05,315.62,315.74,315.65,315.79,316.17,316.38,316.64,316.94
1961-06-12,315.74,315.65,315.79,316.17,316.38,316.64,316.94,317.16
1961-06-19,315.65,315.79,316.17,316.38,316.64,316.94,317.16,317.6
1961-06-26,315.79,316.17,316.38,316.64,316.94,317.16,317.6,317.96
1961-07-03,316.17,316.38,316.64,316.94,317.16,317.6,317.96,318.24
1961-07-10,316.38,316.64,316.94,317.16,317.6,317.96,318.24,318.685
1961-07-17,316.64,316.94,317.16,317.6,317.96,318.24,318.685,319.13
1961-07-24,316.94,317.16,317.6,317.96,318.24,318.685,319.13,319.34
1961-07-31,317.16,317.6,317.96,318.24,318.685,319.13,319.34,319.9
1961-08-07,317.6,317.96,318.24,318.685,319.13,319.34,319.9,320.1
1961-08-14,317.96,318.24,318.685,319.13,319.34,319.9,320.1,320.63
1961-08-21,318.24,318.685,319.13,319.34,319.9,320.1,320.63,320.99
1961-08-28,318.685,319.13,319.34,319.9,320.1,320.63,320.99,321.09
1961-09-04,319.13,319.34,319.9,320.1,320.63,320.99,321.09,321.53
1961-09-11,319.34,319.9,320.1,320.63,320.99,321.09,321.53,321.71
1961-09-18,319.9,320.1,320.63,320.99,321.09,321.53,321.71,321.94
1961-09-25,320.1,320.63,320.99,321.09,321.53,321.71,321.94,322.025
1961-10-02,320.63,320.99,321.09,321.53,321.71,321.94,322.025,322.11
1961-10-09,320.99,321.09,321.53,321.71,321.94,322.025,322.11,322.13
1961-10-16,321.09,321.53,321.71,321.94,322.025,322.11,322.13,322.14
1961-10-23,321.53,321.71,321.94,322.025,322.11,322.13,322.14,322.14
1961-10-30,321.71,321.94,322.025,322.11,322.13,322.14,322.14,322.15
1961-11-06,321.94,322.025,322.11,322.13,322.14,322.14,322.15,322.04999999999995
1961-11-13,322.025,322.11,322.13,322.14,322.14,322.15,322.04999999999995,321.95
1961-11-20,322.11,322.13,322.14,322.14,322.15,322.04999999999995,321.95,321.83
1961-11-27,322.13,322.14,322.14,322.15,322.04999999999995,321.95,321.83,321.53
1961-12-04,322.14,322.14,322.15,322.04999999999995,321.95,321.83,321.53,321.44
1961-12-11,322.14,322.15,322.04999999999995,321.95,321.83,321.53,321.44,320.99
1961-12-18,322.15,322.04999999999995,321.95,321.83,321.53,321.44,320.99,321.0
1961-12-25,322.04999999999995,321.95,321.83,321.53,321.44,320.99,321.0,320.48
1962-01-01,321.95,321.83,321.53,321.44,320.99,321.0,320.48,320.01
1962-01-08,321.83,321.53,321.44,320.99,321.0,320.48,320.01,319.65
1962-01-15,321.53,321.44,320.99,321.0,320.48,320.01,319.65,319.47
1962-01-22,321.44,320.99,321.0,320.48,320.01,319.65,319.47,319.07
1962-01-29,320.99,321.0,320.48,320.01,319.65,319.47,319.07,318.83
1962-02-05,321.0,320.48,320.01,319.65,319.47,319.07,318.83,318.5
1962-02-12,320.48,320.01,319.65,319.47,319.07,318.83,318.5,318.14
1962-02-19,320.01,319.65,319.47,319.07,318.83,318.5,318.14,317.79
1962-02-26,319.65,319.47,319.07,318.83,318.5,318.14,317.79,317.47
1962-03-05,319.47,319.07,318.83,318.5,318.14,317.79,317.47,317.39
1962-03-12,319.07,318.83,318.5,318.14,317.79,317.47,317.39,317.31
1962-03-19,318.83,318.5,318.14,317.79,317.47,317.39,317.31,317.09
1962-03-26,318.5,318.14,317.79,317.47,317.39,317.31,317.09,316.84
1962-04-02,318.14,317.79,317.47,317.39,317.31,317.09,316.84,316.91
1962-04-09,317.79,317.47,317.39,317.31,317.09,316.84,316.91,316.91
1962-04-16,317.47,317.39,317.31,317.09,316.84,316.91,316.91,316.8
1962-04-23,317.39,317.31,317.09,316.84,316.91,316.91,316.8,316.8933333333333
1962-04-30,317.31,317.09,316.84,316.91,316.91,316.8,316.8933333333333,316.9866666666667
1962-05-07,317.09,316.84,316.91,316.91,316.8,316.8933333333333,316.9866666666667,317.08
1962-05-14,316.84,316.91,316.91,316.8,316.8933333333333,316.9866666666667,317.08,317.42
1962-05-21,316.91,316.91,316.8,316.8933333333333,316.9866666666667,317.08,317.42,317.66
1962-05-28,316.91,316.8,316.8933333333333,316.9866666666667,317.08,317.42,317.66,317.97
1962-06-04,316.8,316.8933333333333,316.9866666666667,317.08,317.42,317.66,317.97,318.26
1962-06-11,316.8933333333333,316.9866666666667,317.08,317.42,317.66,317.97,318.26,318.33
1962-06-18,316.9866666666667,317.08,317.42,317.66,317.97,318.26,318.33,318.72
1962-06-25,317.08,317.42,317.66,317.97,318.26,318.33,318.72,319.22
1962-07-02,317.42,317.66,317.97,318.26,318.33,318.72,319.22,319.59
1962-07-09,317.66,317.97,318.26,318.33,318.72,319.22,319.59,320.145
1962-07-16,317.97,318.26,318.33,318.72,319.22,319.59,320.145,320.7
1962-07-23,318.26,318.33,318.72,319.22,319.59,320.145,320.7,320.75
1962-07-30,318.33,318.72,319.22,319.59,320.145,320.7,320.75,321.19
1962-08-06,318.72,319.22,319.59,320.145,320.7,320.75,321.19,321.52
1962-08-13,319.22,319.59,320.145,320.7,320.75,321.19,321.52,321.85
1962-08-20,319.59,320.145,320.7,320.75,321.19,321.52,321.85,322.08
1962-08-27,320.145,320.7,320.75,321.19,321.52,321.85,322.08,322.49
1962-09-03,320.7,320.75,321.19,321.52,321.85,322.08,322.49,322.61
1962-09-10,320.75,321.19,321.52,321.85,322.08,322.49,322.61,322.9
1962-09-17,321.19,321.52,321.85,322.08,322.49,322.61,322.9,323.08
1962-09-24,321.52,321.85,322.08,322.49,322.61,322.9,323.08,323.3
1962-10-01,321.85,322.08,322.49,322.61,322.9,323.08,323.3,323.65
1962-10-08,322.08,322.49,322.61,322.9,323.08,323.3,323.65,323.31
1962-10-15,322.49,322.61,322.9,323.08,323.3,323.65,323.31,323.33500000000004
1962-10-22,322.61,322.9,323.08,323.3,323.65,323.31,323.33500000000004,323.36
1962-10-29,322.9,323.08,323.3,323.65,323.31,323.33500000000004,323.36,323.43
1962-11-05,323.08,323.3,323.65,323.31,323.33500000000004,323.36,323.43,323.49
1962-11-12,323.3,323.65,323.31,323.33500000000004,323.36,323.43,323.49,323.25
1962-11-19,323.65,323.31,323.33500000000004,323.36,323.43,323.49,323.25,322.97
1962-11-26,323.31,323.33500000000004,323.36,323.43,323.49,323.25,322.97,322.8
1962-12-03,323.33500000000004,323.36,323.43,323.49,323.25,322.97,322.8,322.7
1962-12-10,323.36,323.43,323.49,323.25,322.97,322.8,322.7,322.4
1962-12-17,323.43,323.49,323.25,322.97,322.8,322.7,322.4,322.1
1962-12-24,323.49,323.25,322.97,322.8,322.7,322.4,322.1,321.78
1962-12-31,323.25,322.97,322.8,322.7,322.4,322.1,321.78,321.55499999999995
1963-01-07,322.97,322.8,322.7,322.4,322.1,321.78,321.55499999999995,321.33
1963-01-14,322.8,322.7,322.4,322.1,321.78,321.55499999999995,321.33,320.85
1963-01-21,322.7,322.4,322.1,321.78,321.55499999999995,321.33,320.85,320.25
1963-01-28,322.4,322.1,321.78,321.55499999999995,321.33,320.85,320.25,320.14
1963-02-04,322.1,321.78,321.55499999999995,321.33,320.85,320.25,320.14,319.74
1963-02-11,321.78,321.55499999999995,321.33,320.85,320.25,320.14,319.74,319.44
1963-02-18,321.55499999999995,321.33,320.85,320.25,320.14,319.74,319.44,319.14
1963-02-25,321.33,320.85,320.25,320.14,319.74,319.44,319.14,318.96
1963-03-04,320.85,320.25,320.14,319.74,319.44,319.14,318.96,318.79
1963-03-11,320.25,320.14,319.74,319.44,319.14,318.96,318.79,318.64
1963-03-18,320.14,319.74,319.44,319.14,318.96,318.79,318.64,318.28
1963-03-25,319.74,319.44,319.14,318.96,318.79,318.64,318.28,318.25
1963-04-01,319.44,319.14,318.96,318.79,318.64,318.28,318.25,318.16
1963-04-08,319.14,318.96,318.79,318.64,318.28,318.25,318.16,318.1
1963-04-15,318.96,318.79,318.64,318.28,318.25,318.16,318.1,318.36
1963-04-22,318.79,318.64,318.28,318.25,318.16,318.1,318.36,318.27
1963-04-29,318.64,318.28,318.25,318.16,318.1,318.36,318.27,318.2
1963-05-06,318.28,318.25,318.16,318.1,318.36,318.27,318.2,318.56
1963-05-13,318.25,318.16,318.1,318.36,318.27,318.2,318.56,318.86
1963-05-20,318.16,318.1,318.36,318.27,318.2,318.56,318.86,318.97
1963-05-27,318.1,318.36,318.27,318.2,318.56,318.86,318.97,318.96
1963-06-03,318.36,318.27,318.2,318.56,318.86,318.97,318.96,319.35
1963-06-10,318.27,318.2,318.56,318.86,318.97,318.96,319.35,319.84
1963-06-17,318.2,318.56,318.86,318.97,318.96,319.35,319.84,319.98
1963-06-24,318.56,318.86,318.97,318.96,319.35,319.84,319.98,320.45
1963-07-01,318.86,318.97,318.96,319.35,319.84,319.98,320.45,320.85
1963-07-08,318.97,318.96,319.35,319.84,319.98,320.45,320.85,321.06
1963-07-15,318.96,319.35,319.84,319.98,320.45,320.85,321.06,321.54
1963-07-22,319.35,319.84,319.98,320.45,320.85,321.06,321.54,321.6
1963-07-29,319.84,319.98,320.45,320.85,321.06,321.54,321.6,322.125
1963-08-05,319.98,320.45,320.85,321.06,321.54,321.6,322.125,322.65
1963-08-12,320.45,320.85,321.06,321.54,321.6,322.125,322.65,322.9
1963-08-19,320.85,321.06,321.54,321.6,322.125,322.65,322.9,323.52
1963-08-26,321.06,321.54,321.6,322.125,322.65,322.9,323.52,323.52
1963-09-02,321.54,321.6,322.125,322.65,322.9,323.52,323.52,323.9
1963-09-09,321.6,322.125,322.65,322.9,323.52,323.52,323.9,324.2
1963-09-16,322.125,322.65,322.9,323.52,323.52,323.9,324.2,324.54
1963-09-23,322.65,322.9,323.52,323.52,323.9,324.2,324.54,324.675
1963-09-30,322.9,323.52,323.52,323.9,324.2,324.54,324.675,324.81
1963-10-07,323.52,323.52,323.9,324.2,324.54,324.675,324.81,324.78
1963-10-14,323.52,323.9,324.2,324.54,324.675,324.81,324.78,324.73
1963-10-21,323.9,324.2,324.54,324.675,324.81,324.78,324.73,324.87
1963-10-28,324.2,324.54,324.675,324.81,324.78,324.73,324.87,324.8
1963-11-04,324.54,324.675,324.81,324.78,324.73,324.87,324.8,324.64
1963-11-11,324.675,324.81,324.78,324.73,324.87,324.8,324.64,324.58
1963-11-18,324.81,324.78,324.73,324.87,324.8,324.64,324.58,324.37
1963-11-25,324.78,324.73,324.87,324.8,324.64,324.58,324.37,324.22
1963-12-02,324.73,324.87,324.8,324.64,324.58,324.37,324.22,324.05
1963-12-09,324.87,324.8,324.64,324.58,324.37,324.22,324.05,323.88
1963-12-16,324.8,324.64,324.58,324.37,324.22,324.05,323.88,323.31
1963-12-23,324.64,324.58,324.37,324.22,324.05,323.88,323.31,323.34
1963-12-30,324.58,324.37,324.22,324.05,323.88,323.31,323.34,322.61
1964-01-06,324.37,324.22,324.05,323.88,323.31,323.34,322.61,322.46
1964-01-13,324.22,324.05,323.88,323.31,323.34,322.61,322.46,322.2
1964-01-20,324.05,323.88,323.31,323.34,322.61,322.46,322.2,321.84
1964-01-27,323.88,323.31,323.34,322.61,322.46,322.2,321.84,321.42
1964-02-03,323.31,323.34,322.61,322.46,322.2,321.84,321.42,321.14
1964-02-10,323.34,322.61,322.46,322.2,321.84,321.42,321.14,320.81
1964-02-17,322.61,322.46,322.2,321.84,321.42,321.14,320.81,320.51
1964-02-24,322.46,322.2,321.84,321.42,321.14,320.81,320.51,320.4
1964-03-02,322.2,321.84,321.42,321.14,320.81,320.51,320.4,320.12
1964-03-09,321.84,321.42,321.14,320.81,320.51,320.4,320.12,319.81
1964-03-16,321.42,321.14,320.81,320.51,320.4,320.12,319.81,319.81
1964-03-23,321.14,320.81,320.51,320.4,320.12,319.81,319.81,319.63
1964-03-30,320.81,320.51,320.4,320.12,319.81,319.81,319.63,319.59
1964-04-06,320.51,320.4,320.12,319.81,319.81,319.63,319.59,319.54
1964-04-13,320.4,320.12,319.81,319.81,319.63,319.59,319.54,319.39
1964-04-20,320.12,319.81,319.81,319.63,319.59,319.54,319.39,319.46
1964-04-27,319.81,319.81,319.63,319.59,319.54,319.39,319.46,319.68
1964-05-04,319.81,319.63,319.59,319.54,319.39,319.46,319.68,319.8
1964-05-11,319.63,319.59,319.54,319.39,319.46,319.68,319.8,319.91
1964-05-18,319.59,319.54,319.39,319.46,319.68,319.8,319.91,320.13
1964-05-25,319.54,319.39,319.46,319.68,319.8,319.91,320.13,320.36
1964-06-01,319.39,319.46,319.68,319.8,319.91,320.13,320.36,320.59
1964-06-08,319.46,319.68,319.8,319.91,320.13,320.36,320.59,320.92999999999995
1964-06-15,319.68,319.8,319.91,320.13,320.36,320.59,320.92999999999995,321.27
1964-06-22,319.8,319.91,320.13,320.36,320.59,320.92999999999995,321.27,321.62
1964-06-29,319.91,320.13,320.36,320.59,320.92999999999995,321.27,321.62,322.12
1964-07-06,320.13,320.36,320.59,320.92999999999995,321.27,321.62,322.12,322.47
1964-07-13,320.36,320.59,320.92999999999995,321.27,321.62,322.12,322.47,322.85
1964-07-20,320.59,320.92999999999995,321.27,321.62,322.12,322.47,322.85,323.29
1964-07-27,320.92999999999995,321.27,321.62,322.12,322.47,322.85,323.29,323.54
1964-08-03,321.27,321.62,322.12,322.47,322.85,323.29,323.54,323.98
1964-08-10,321.62,322.12,322.47,322.85,323.29,323.54,323.98,324.23
1964-08-17,322.12,322.47,322.85,323.29,323.54,323.98,324.23,324.565
1964-08-24,322.47,322.85,323.29,323.54,323.98,324.23,324.565,324.9
1964-08-31,322.85,323.29,323.54,323.98,324.23,324.565,324.9,325.2
1964-09-07,323.29,323.54,323.98,324.23,324.565,324.9,325.2,325.51
1964-09-14,323.54,323.98,324.23,324.565,324.9,325.2,325.51,325.58
1964-09-21,323.98,324.23,324.565,324.9,325.2,325.51,325.58,326.05
1964-09-28,324.23,324.565,324.9,325.2,325.51,325.58,326.05,325.87
1964-10-05,324.565,324.9,325.2,325.51,325.58,326.05,325.87,325.95
1964-10-12,324.9,325.2,325.51,325.58,326.05,325.87,325.95,326.24
1964-10-19,325.2,325.51,325.58,326.05,325.87,325.95,326.24,326.21
1964-10-26,325.51,325.58,326.05,325.87,325.95,326.24,326.21,326.16
1964-11-02,325.58,326.05,325.87,325.95,326.24,326.21,326.16,326.08
1964-11-09,326.05,325.87,325.95,326.24,326.21,326.16,326.08,325.9
1964-11-16,325.87,325.95,326.24,326.21,326.16,326.08,325.9,325.65
1964-11-23,325.95,326.24,326.21,326.16,326.08,325.9,325.65,325.56
1964-11-30,326.24,326.21,326.16,326.08,325.9,325.65,325.56,325.26
1964-12-07,326.21,326.16,326.08,325.9,325.65,325.56,325.26,325.17
1964-12-14,326.16,326.08,325.9,325.65,325.56,325.26,325.17,324.77
1964-12-21,326.08,325.9,325.65,325.56,325.26,325.17,324.77,324.4
1964-12-28,325.9,325.65,325.56,325.26,325.17,324.77,324.4,324.14
1965-01-04,325.65,325.56,325.26,325.17,324.77,324.4,324.14,323.88
1965-01-11,325.56,325.26,325.17,324.77,324.4,324.14,323.88,323.45
1965-01-18,325.26,325.17,324.77,324.4,324.14,323.88,323.45,323.09
1965-01-25,325.17,324.77,324.4,324.14,323.88,323.45,323.09,322.86
1965-02-01,324.77,324.4,324.14,323.88,323.45,323.09,322.86,322.54
1965-02-08,324.4,324.14,323.88,323.45,323.09,322.86,322.54,322.16
1965-02-15,324.14,323.88,323.45,323.09,322.86,322.54,322.16,321.87
1965-02-22,323.88,323.45,323.09,322.86,322.54,322.16,321.87,321.68
1965-03-01,323.45,323.09,322.86,322.54,322.16,321.87,321.68,321.375
1965-03-08,323.09,322.86,322.54,322.16,321.87,321.68,321.375,321.07
1965-03-15,322.86,322.54,322.16,321.87,321.68,321.375,321.07,320.97
1965-03-22,322.54,322.16,321.87,321.68,321.375,321.07,320.97,320.89
1965-03-29,322.16,321.87,321.68,321.375,321.07,320.97,320.89,320.86
1965-04-05,321.87,321.68,321.375,321.07,320.97,320.89,320.86,320.92
1965-04-12,321.68,321.375,321.07,320.97,320.89,320.86,320.92,320.86
1965-04-19,321.375,321.07,320.97,320.89,320.86,320.92,320.86,320.79
1965-04-26,321.07,320.97,320.89,320.86,320.92,320.86,320.79,320.89
